product_name,average_review_rating,amazon_category_and_sub_category,number_of_reviews,customers_who_bought_this_item_also_bought,items_customers_buy_after_viewing_this_item
Legler Learn to Tell the Time Clock Preschool Learning Toys,4.8,Games > Educational Games,6.0,Viga-Wooden-Calender-Clock > Melissa-Doug-Turn-Tell-Clock > GoKi-58980-Wooden-Learning-Clock > Orchard-Toys-Tell-The-Time > CLEVER-KIDZ-54992-TEACHING-MAGNETIC > Telling-Time-Childrens-Flash-Cards,Viga-Wooden-Calender-Clock > Melissa-Doug-Turn-Tell-Clock > Can-Tell-Time-Kate-Thomson > Wooden-Learning-Clown-Clock-Puzzle
Bendominoes,4.8,Games > Dominoes & Tile Games,110.0,Pressman-Toy-International  > Hexago-Continuo-One-Rule-Game-Family > Triominos-Classic-De-Luxe-Game > US-Games-Systems-HEX36-CONTINUO > Bendomino-Blue-Orange-Games > Green-Board-Games-MDS-32016W,Pressman-Toy-International  > Triominos-Classic-De-Luxe-Game > Hexago-Continuo-One-Rule-Game-Family > Asmodee-ASMDOBB01EN
Roald Dahl Squiffing Story Tiles Game,5.0,Games > Educational Games,2.0,Roald-Tip-Toppling-Times-Tables-Games > Roald-Dahl-Splendiferous  > Build-Chocolate-Factory-Roald-Press > Toys-Roald-Dahl-PP2755RD-Activity-Notebook > Roald-Dahl-Willy-Chocolate-Making > Roald-Charlie-Chocolate-Factory-Triangles,The-Green-Board-Game-90035 > Toys-Roald-Dahl-PP2755RD-Activity-Notebook > Build-Chocolate-Factory-Roald-Press > Roald-Tip-Toppling-Times-Tables-Games
"Galt Toys Whose Baby, Photo Puzzle",4.6,Games > Educational Games,16.0,Galt-Toys-1105053-Opposite-Puzzles > Galt-Toys-1105050-Number-Puzzles > Orchard-Toys-301703-Colour-Match > Galt-Toys-Whats-Next-Puzzles > Galt-Toys-LL10171-Animal-Soundtracks  > Toys-Creative-Educational,Galt-Toys-1105053-Opposite-Puzzles > Galt-Toys-1105050-Number-Puzzles > Galt-Toys-1105047-Alphabet-Puzzles > Orchard-Toys-301703-Colour-Match
Creative Educational Pre-School What's Next I,5.0,Games > Educational Games,2.0,Creative-Educational  > Creative-Educational  > Creative-Educational  > Sequencing  > Creative-Educational  > Creative-Educational,Creative-Educational  > Sequencing  > Creative-Educational  > Creative-Educational
Flashing Tambourine,4.2,Games > Educational Games,102.0,Prismatic-Projector-visually-stunning-special > Glowing-Flashing-Rainbow-Windmill-batries > The-Glowhouse-Flashing-Maracas-Pair > Funtime-Gifts-Infinity-Spinning-Top > Sensory-Toys-Sound-Responsive  > Infinity-Mirror-Lighting-Sensory-Playlearn,The-Online-Stores-FLASHING-BOUNCE-SPIKE > Jumping-Bopper-sensitive-Vibrating-Powered > Glowing-Flashing-Rainbow-Windmill-batries > TOMY-Play-Learn-Hide-Squeak
VTech InnoTab Software: Thomas & Friends - Exploring Sodor,4.1,Characters & Brands > VTech,101.0,VTech-InnoTab-Software-Busy-Alphabet > VTech-InnoTab-Gel-Skin-Blue > VTech-InnoTab-Software-Peppa-Pig > VTech-InnoTab-Software-Cars-2 > VTech-InnoTab-Software-Toy-Story > VTech-InnoTab-Software-Mickey-Clubhouse,Innotab-234003-VTech-Software-Octonauts > VTech-InnoTab-Software-Toy-Story > VTech-InnoTab-Software-Mickey-Clubhouse > VTech-InnoTab-Software-Never-Pirates
Luxurious Dominoes Double 9 Set - Mahogany Cased - Luxury Dominoes Set,4.0,Games > Dominoes & Tile Games,3.0,Gibsons-G320-Dominoes-Double-Set > Dominoes-double-plastic-black-spinners > Double-Colour-Dominoes-Colours-Vary > Dominoes-Double-Nine-Jaques-London > Double-Domino-Classic-brass-spinners > Quality-Children-Dominoes-Constructed,Gibsons-G320-Dominoes-Double-Set > Double-Colour-Dominoes-Colours-Vary > Dominoes-double-plastic-black-spinners > ClubKing-Ltd-Dominoes-Double-Nine
Homonyms Educational Puzzle (Words with Different Meanings),5.0,Games > Educational Games,1.0,Homophones  > Synonyms-Game-words-same-meaning > Frank-Educational,
Paul Lamond Dear Zoo Dominoes,5.0,Games > Dominoes & Tile Games,1.0,Paul-Lamond-Floor-Puzzle-Pieces > Dear-Zoo-Picture-Puffin-Campbell > Dear-Zoo-Noisy-Book-Campbell > Hungry-Caterpillar  > Paul-Lamond-Dear-Zoo-Puzzle > Paul-Lamond-Tiger-Came-Puzzle,Paul-Lamond-Floor-Puzzle-Pieces > Dear-Zoo-Rod-Campbell > Ravensburger  > Dear-Zoo-12994-8-inch-Monkey
Harry Hastings' How Well Do You Know Your Monarchs?,5.0,Games > Educational Games,1.0,History-Heroes-World-Card-Game > Harry-Hastings-History-Heroes-monarchs > Top-Trumps-Specials-Horrible-Histories > The-Green-Board-Game-01798 > History-Heroes-Scientists,History-Heroes-World-Card-Game
John Adams Domino Express Twister TV Craft Kit,4.0,Games > Dominoes & Tile Games,110.0,Adams-Domino-Express-Vertigo-Craft > Adams-Domino-Express-Refill-Craft > Ideal-9997-Domino-Express-Factory > Domino-Express-9821-Duel > Adams-Domino-Express-X-Treme-Craft > birthday-christmas-occasion-children-training,Adams-Domino-Express-X-Treme-Craft > Domino-Express-9821-Duel > Toys-Pure-Wooden-Domino-Rally > Adams-Domino-Express-Vertigo-Craft
Storyonics - Magical Mystery Stories: 6 - 106 years,4.6,Games > Educational Games,8.0,Storyonics  > Learning-Resources-LER3034-Speakers-Box > The-Creativity  > Paul-Lamond-Story-Telling-Game > Magic-Fairy-tale-Dice-Story-Telling > The-Creativity,The-Creativity  > Storyonics  > Write-Your-Storybook-Louie-Stowell > Learning-Resources-LER3034-Speakers-Box
Learning Resources Eggspert,4.7,Games > Educational Games,3.0,Learning-Resources-Eggspert-Classroom-Master,
